"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",1,NA,NA,NA,NA,1,NA,2,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,3,2,NA,3,2,4,3,1,3,6,5,2,4,3,6,2,1,5,11,5,7,6,4,6,10,7,7,4,8,7,3,2,4,1,3,5,1,NA,2,1,1,NA,NA,2,NA,NA
"1974",NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,1,2,NA,1,1,1,NA,3,2,1,1,NA,1,1,NA,2,NA,NA,1,2,1,3,2,2,NA,1,2,2,4,6,2,3,4,3,4,2,6,7,3,9,6,8,3,4,8,11,9,6,5,8,5,4,3,4,3,2,2,1,2,2,1,1,1,1,NA,NA
"1975",NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,1,NA,1,2,NA,1,NA,3,1,NA,3,1,1,1,1,NA,3,2,1,NA,2,5,NA,4,1,2,1,5,1,NA,2,2,3,6,5,7,5,6,5,6,10,6,7,8,10,7,6,6,5,6,5,7,11,6,2,3,5,5,5,3,3,3,1,NA,1,1,NA,1,NA
"1976",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,2,NA,1,NA,1,1,2,NA,1,3,1,2,NA,2,1,NA,1,2,1,5,4,2,2,NA,1,4,3,6,6,2,8,7,9,3,4,12,3,3,9,7,5,5,8,8,6,8,6,5,7,3,2,1,4,4,NA,1,NA,1,1,NA
"1977",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,1,1,NA,NA,2,NA,2,NA,1,4,2,2,2,6,2,5,6,3,6,6,7,5,4,6,6,3,2,4,5,NA,5,5,2,3,2,4,3,5,1,1,1,2,4,2,NA,1,NA,NA
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,2,1,1,2,4,4,4,4,7,3,3,3,4,6,5,4,9,11,5,4,7,4,6,3,4,5,7,6,1,1,2,3,NA,2,2,1,NA,1
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,2,3,1,1,1,NA,2,2,2,1,3,2,3,2,4,2,1,7,1,3,8,6,3,4,6,2,5,4,4,3,6,4,7,7,6,6,2,2,3,2,6,4,3,7,1,NA,1,2,NA
"1980",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,2,NA,1,NA,1,NA,1,NA,NA,2,NA,NA,4,1,2,NA,1,1,2,1,NA,NA,2,1,NA,2,3,4,2,4,4,3,6,5,9,6,4,4,6,7,6,3,7,8,5,6,4,2,8,5,9,5,2,4,5,5,5,5,2,1,2,1,NA
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,NA,1,NA,1,3,1,2,NA,3,2,2,4,8,7,3,3,6,4,7,7,5,7,5,6,11,3,7,3,5,4,5,7,6,5,NA,4,2,2,NA,2,2,2,3,3,NA
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,1,1,NA,NA,NA,1,NA,NA,1,1,3,1,2,NA,NA,3,NA,4,2,3,2,2,1,1,1,NA,6,1,3,3,6,3,3,3,7,9,4,6,4,4,9,6,4,5,3,4,7,4,4,5,7,5,4,4,2,3,NA,NA,4,1,NA,1
"1983",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,1,NA,1,1,1,1,2,1,3,2,2,1,NA,2,1,2,1,3,NA,2,2,5,1,10,10,6,3,8,9,4,6,11,3,12,5,6,4,4,5,6,5,5,6,6,4,2,3,3,3,2,2,2
"1984",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,2,NA,1,1,NA,2,NA,2,1,NA,NA,1,1,1,NA,1,NA,1,1,NA,NA,NA,3,2,5,1,4,4,4,4,3,5,5,5,5,2,6,8,7,7,10,4,9,6,5,3,11,5,5,7,3,4,2,3,3,3,4,3,1,3
"1985",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,2,2,1,1,1,1,2,2,6,1,1,NA,1,4,3,2,1,2,NA,3,6,4,1,3,6,8,6,9,6,8,8,8,10,5,14,5,6,11,3,7,14,2,4,2,7,3,10,3,4,2,1,6,1
"1986",3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,1,1,2,1,NA,NA,3,2,2,NA,3,2,3,4,1,2,3,3,1,2,3,4,4,6,4,2,4,10,7,5,5,4,12,5,9,4,5,6,14,10,8,13,6,5,5,10,5,4,3,1,3,1,3,3,NA
"1987",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,2,NA,2,NA,1,NA,NA,1,2,NA,1,1,1,NA,NA,2,1,2,4,NA,1,1,4,2,2,4,5,5,6,5,8,6,8,4,6,7,7,9,8,9,7,6,8,8,6,8,8,6,3,5,6,4,6,3,2,6,3,1
