"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,2,1,NA,1,2,NA,NA,1,1,NA,NA,3,1,1,2,2,2,2,3,NA,2,3,5,NA,5,6,3,7,5,6,10,6,10,10,6,10,9,8,12,4,8,9,2,7,9,9,8,6,3,2,8,3,4,2,7,NA,5,NA,NA,1,NA,1,1,1,NA,NA
"1974",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,NA,NA,1,NA,2,2,1,2,2,1,2,1,1,NA,1,1,NA,1,NA,1,1,2,1,4,1,4,6,2,6,3,2,6,2,10,9,3,3,11,7,11,5,8,6,4,9,7,7,10,8,5,7,5,4,4,7,1,5,7,6,6,2,2,1,1,NA,1,NA,NA
"1975",NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,1,2,1,3,2,2,2,NA,NA,NA,NA,NA,3,3,1,2,1,2,1,4,1,2,1,1,NA,3,3,4,3,4,3,1,4,3,4,4,9,5,5,9,10,7,5,6,9,8,11,10,11,13,12,11,10,6,9,10,10,5,4,5,5,7,3,6,4,4,1,NA,1,NA,NA,1,1,2
"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,2,1,NA,2,NA,3,2,1,2,1,NA,NA,NA,2,2,2,4,2,3,4,2,3,2,1,4,5,4,12,8,10,7,6,2,4,7,6,7,14,10,11,5,12,12,10,11,10,10,8,8,4,6,5,7,2,5,5,2,2,1,NA,1,1,NA
"1977",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,3,NA,NA,2,3,2,3,1,NA,3,2,1,2,1,2,3,3,4,2,7,8,7,3,11,7,8,8,4,7,2,6,7,11,7,7,2,10,8,5,8,3,3,6,6,5,3,6,3,3,2,2,5,NA,NA,1,2
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,1,1,NA,NA,3,3,1,1,1,NA,NA,NA,NA,1,NA,3,2,2,NA,2,3,2,1,2,5,5,6,3,7,3,5,8,2,8,8,11,7,4,10,7,10,2,3,5,9,7,5,5,6,5,2,2,4,2,1,3,1,3,1,1,2,NA
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,1,NA,1,2,NA,1,2,2,NA,1,NA,1,2,2,1,NA,NA,1,1,NA,1,4,3,1,2,4,1,6,4,2,4,3,9,4,5,5,5,9,5,6,5,11,6,5,9,8,9,3,7,2,8,8,10,6,4,3,5,3,3,4,3,1,NA,1,1,3,3,1
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,2,2,NA,NA,1,1,NA,1,4,4,2,NA,1,4,3,1,4,NA,2,4,4,4,5,9,9,6,6,8,11,12,8,6,8,5,7,3,4,5,5,6,8,5,5,4,4,5,1,6,5,2,1,NA,3,2,NA
"1981",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,1,1,NA,1,2,1,2,4,3,2,2,2,7,4,6,6,4,7,7,3,1,3,11,5,5,9,9,7,10,14,9,10,10,11,10,6,9,3,7,3,7,3,4,7,1,2,3,2,1,1,2
"1982",NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,2,1,1,NA,2,NA,NA,3,1,1,1,NA,2,1,4,1,2,1,1,4,3,3,5,2,2,4,3,6,2,2,3,5,5,4,4,4,8,7,7,9,8,11,9,13,8,4,3,8,9,3,5,8,9,5,5,6,5,1,3,2,4,NA,NA,NA,1
