"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,2,3,3,NA,NA,2,1,2,5,2,4,1,6,6,6,11,3,3,12,11,5,19,17,24,30,28,38,37,39,46,44,54,61,72,65,84,91,67,89,83,83,90,95,105,101,123,115,124,103,119,116,134,117,105,126,127,119,104,106,89,90,90,92,69
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,1,NA,1,4,NA,4,1,7,2,2,5,5,6,4,11,7,7,8,10,3,12,15,16,25,26,26,26,35,38,32,45,51,54,68,64,60,76,85,90,111,104,100,93,113,112,104,116,127,133,122,149,132,139,154,134,147,143,139,161,142,116,114,97,113,100,79
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,1,2,NA,2,5,2,5,4,NA,3,2,7,5,4,5,9,8,6,9,12,12,15,23,15,24,28,19,41,44,40,47,42,71,59,78,74,72,105,104,98,113,116,117,123,111,147,147,141,136,151,137,163,161,159,154,150,157,166,150,137,162,141,125,120,92,104
"1976",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,1,2,1,3,1,3,1,2,5,4,6,3,7,2,8,3,13,8,10,17,21,14,10,13,28,23,27,40,55,45,57,55,76,85,86,88,102,112,103,95,105,115,129,121,147,148,147,157,172,149,177,141,167,151,144,158,160,158,157,131,145,124,126,116,108
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,2,1,2,NA,NA,2,4,3,2,5,4,7,7,4,9,6,4,7,10,13,16,7,17,15,23,31,29,49,51,47,48,49,63,69,79,88,98,95,90,92,104,128,109,133,121,139,145,156,140,161,181,167,164,151,152,148,175,169,159,157,142,137,158,125,130,106
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,3,2,3,5,5,4,5,10,5,6,16,8,4,9,17,16,14,19,20,20,29,33,33,41,56,61,65,87,79,81,94,103,107,105,107,126,148,132,139,153,130,157,151,154,157,163,183,165,197,164,159,175,193,163,158,176,142,134,115,112
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,1,4,1,NA,1,3,4,NA,3,5,6,5,8,8,8,9,14,6,4,7,13,12,13,12,25,20,28,26,35,44,36,37,31,63,83,69,63,101,99,106,116,113,108,123,141,130,131,140,154,176,155,177,169,187,164,173,194,165,158,179,172,142,165,137,147,132,108
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,NA,1,2,3,1,3,3,1,3,5,6,8,4,5,2,7,15,12,15,12,15,16,19,15,19,17,35,31,49,51,63,67,74,81,75,100,104,96,110,128,126,143,142,155,143,163,166,166,171,198,175,197,167,184,188,193,172,185,179,171,174,151,163,133,119
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,2,1,1,1,NA,2,1,3,2,6,8,10,10,5,6,13,8,15,12,16,16,17,21,30,30,41,50,48,62,60,79,87,71,94,92,102,130,124,118,138,144,156,149,175,167,155,180,172,173,191,174,198,184,206,189,204,160,171,198,157,174,134,130
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,2,1,3,NA,6,4,2,6,7,6,8,3,10,12,8,9,15,11,16,18,24,24,17,12,28,30,43,37,56,45,68,63,77,78,92,115,110,112,137,133,134,133,180,144,191,179,175,182,183,169,182,182,200,186,180,208,202,172,148,143,134,146,132
