"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,4,NA,1,NA,1,3,4,2,5,1,7,10,7,12,8,7,14,16,16,24,23,29,44,37,40,50,48,65,54,79,82,91,86,89,98,82,93,114,106,115,99,120,137,130,124,108,130,126,130,121,102,90,122,87,89,83,85,73,58,52
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,2,1,1,2,3,7,2,1,5,2,1,7,6,5,9,9,11,12,15,17,13,23,13,17,26,37,38,39,47,63,51,66,72,90,91,96,94,111,133,137,124,119,132,145,140,144,153,161,168,145,147,174,155,138,146,135,110,110,113,102,97,69,59,55
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,3,NA,2,2,1,4,7,2,4,8,9,9,4,4,6,6,12,17,13,12,12,17,23,24,41,34,49,45,43,58,66,88,77,98,106,109,110,125,132,133,152,158,169,171,143,148,135,172,161,194,158,128,146,129,123,121,117,101,113,86,96,79,71
"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,2,2,2,1,2,2,3,3,5,5,5,5,6,2,13,13,9,9,15,14,15,26,31,37,37,43,44,56,77,68,71,106,85,89,93,122,118,127,177,144,167,178,141,150,167,187,179,143,176,181,169,149,154,127,131,149,133,128,109,105,85,89,56
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,2,6,2,2,4,3,6,5,4,9,6,7,13,11,9,16,11,16,21,18,27,30,29,35,38,45,53,69,87,62,78,103,110,111,106,112,118,144,139,163,183,163,163,171,183,179,163,192,177,166,155,148,164,138,142,140,118,106,121,108,78,79
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,2,4,7,3,3,9,4,3,4,8,14,10,12,5,11,11,18,15,19,26,23,22,43,43,54,52,80,76,96,101,89,133,125,139,143,152,145,156,149,173,185,175,159,190,183,179,169,184,176,154,142,145,149,114,112,106,102,91,99,87
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,4,2,1,1,4,4,5,5,4,6,11,7,8,14,7,6,13,14,13,20,11,25,27,33,35,43,29,51,60,61,73,103,102,109,81,151,146,137,152,163,131,139,184,179,197,184,193,200,196,176,179,188,171,165,142,126,131,129,114,106,105,93,91
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,1,3,4,5,3,2,2,3,1,7,5,7,1,4,4,12,7,9,19,19,13,13,26,19,33,30,32,44,52,51,73,73,102,103,124,114,124,139,159,153,149,176,200,182,179,185,198,181,189,161,188,199,189,181,184,168,144,121,125,104,95,118,95,106
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,3,1,2,4,2,4,1,5,6,5,7,7,4,4,13,9,17,14,14,21,18,26,23,33,46,36,31,52,73,87,94,95,110,115,126,156,159,143,180,197,194,192,193,198,177,207,213,205,217,208,175,182,180,157,157,158,129,132,113,108,87,84
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,3,1,1,1,1,2,1,2,4,3,2,7,9,9,9,5,12,15,9,11,10,19,9,18,22,22,25,22,28,30,30,44,49,55,65,78,84,90,117,143,141,153,179,176,170,191,192,177,203,212,201,212,240,198,184,191,188,184,174,156,158,140,137,120,95,84,70
