"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,2,NA,2,1,4,4,3,1,10,4,5,13,13,19,17,26,24,26,27,24,36,32,45,33,47,51,43,55,60,39,53,46,51,57,44,44,56,53,43,47,39,39,34,32,27,33,20,28,17,19,14,11,17,13,22,13
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,2,NA,2,NA,2,1,3,4,1,1,2,5,7,10,9,16,9,8,20,20,19,38,34,30,44,36,36,57,60,49,48,67,57,78,72,65,62,57,77,60,57,60,61,59,53,40,36,43,48,33,32,34,42,37,26,31,24,22,16,12,12
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,2,NA,1,3,NA,1,2,4,6,1,1,3,1,8,8,5,10,16,14,15,18,24,26,23,31,44,48,41,61,45,62,64,55,71,84,88,84,91,73,68,81,85,62,74,83,60,61,49,49,46,51,53,49,48,38,29,21,28,26,21,21,19,17
"1976",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,2,1,4,1,3,3,2,3,8,8,16,8,19,19,21,28,28,45,41,53,47,50,73,61,67,81,84,72,66,72,97,87,73,88,66,85,92,86,86,69,73,69,83,54,52,49,50,62,48,37,27,34,21,28,22,15,12
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,1,1,1,3,2,2,1,5,8,6,6,11,15,12,28,20,22,21,37,41,41,52,57,60,64,65,59,70,75,93,95,92,98,107,90,91,80,98,85,80,77,78,79,95,72,63,69,52,45,47,38,32,26,29,34,15,24,13
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,2,NA,1,NA,1,2,5,6,2,1,7,5,9,14,14,13,17,24,21,29,29,29,44,46,59,44,68,55,71,72,73,92,106,90,89,105,116,101,121,107,106,114,72,93,95,78,78,73,54,51,57,62,45,49,43,27,40,26,14,20,15
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,5,2,2,4,5,3,4,9,9,5,8,14,15,13,17,28,20,36,45,38,40,58,50,74,70,78,89,81,131,103,106,102,113,128,112,102,114,102,92,109,114,100,102,84,97,75,55,64,52,51,47,35,36,40,28,22,25
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,1,4,2,1,3,8,2,3,9,12,11,17,17,24,18,31,26,30,39,48,64,69,77,76,91,86,89,98,104,104,106,86,112,130,113,114,115,118,104,120,79,94,100,87,89,75,72,70,58,35,35,43,36,45,26,27
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,1,1,5,5,1,3,8,10,11,16,18,19,18,25,20,28,39,29,43,43,69,67,51,70,92,104,110,107,91,102,145,130,140,107,153,121,126,146,123,125,115,120,101,105,92,75,77,79,71,49,55,35,30,35,32,19
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,2,NA,3,4,1,2,10,6,7,5,17,11,24,27,17,18,30,25,35,37,50,53,59,77,90,86,101,113,95,129,125,121,147,137,136,135,132,161,133,149,145,136,116,104,116,102,100,73,63,61,49,55,61,47,46,32,23
