"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,NA,NA,2,2,2,3,2,3,4,3,4,7,18,9,16,14,21,25,38,45,47,51,54,64,94,83,89,105,122,124,129,143,149,168,165,159,182,179,186,187,198,194,166,181,170,156,168,140,147,136,118,95,110,100,75,75,49,49,40,38
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,1,NA,NA,1,NA,NA,2,2,NA,4,3,4,4,7,7,9,7,14,22,27,18,39,32,50,82,82,90,90,119,112,120,146,150,151,188,177,206,193,209,185,232,221,217,236,219,206,190,200,216,199,173,153,149,158,126,98,101,99,77,67,49,41,42
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,2,2,3,3,10,7,7,8,11,15,16,29,32,20,29,49,68,71,80,106,90,118,135,137,173,177,181,183,219,192,201,228,234,219,243,227,236,229,257,245,208,219,218,202,156,163,162,124,123,111,102,93,72,73,42,49
"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,1,NA,3,4,3,6,5,10,9,11,11,15,26,20,27,30,51,73,79,73,92,108,126,143,118,162,177,194,168,184,232,241,230,256,259,255,246,240,258,250,201,235,215,219,215,177,180,190,168,151,107,112,106,86,61,70,52
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,1,1,NA,3,NA,2,3,8,5,4,9,10,18,14,17,25,23,33,42,49,54,63,88,91,110,137,137,156,138,162,170,179,194,224,227,237,277,259,256,275,237,268,258,264,269,251,223,211,205,171,183,144,146,140,93,94,76,77,70,53
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,NA,1,1,1,2,NA,1,2,2,5,4,4,10,5,14,14,21,22,21,38,38,40,51,77,73,101,114,127,139,148,178,183,202,204,202,221,252,255,225,298,276,286,240,277,264,255,251,259,236,238,211,177,182,166,137,134,106,111,78,93,61,52
"1979",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,3,1,NA,NA,6,3,3,8,6,9,12,12,14,15,20,21,26,32,42,67,46,73,88,102,142,108,157,154,179,220,213,229,239,236,266,259,246,286,283,289,332,271,275,246,252,253,203,232,211,167,171,139,135,102,92,76,71,65,65
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,1,NA,3,1,2,1,2,5,8,13,17,23,19,28,30,26,36,37,44,60,71,93,109,142,133,163,179,186,182,212,234,266,258,216,296,258,305,315,298,306,287,295,268,280,277,220,216,231,182,180,158,143,113,104,100,100,62,51
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,1,1,3,4,7,9,8,12,18,13,14,24,32,26,26,35,45,53,56,84,94,112,127,152,172,168,211,239,246,229,269,266,275,279,283,309,340,303,314,327,292,259,264,274,272,185,204,186,204,126,136,106,77,82,84,65
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,1,NA,1,2,6,5,3,5,2,4,7,12,14,15,12,27,21,31,32,45,42,52,60,75,98,104,103,137,161,192,181,219,251,269,262,287,296,300,283,308,331,300,325,286,281,285,277,284,251,268,191,198,167,163,122,120,109,97,63,67
"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,2,1,NA,1,2,NA,2,4,3,5,4,5,8,8,22,21,21,23,27,44,43,43,53,76,81,87,98,118,138,145,187,202,208,216,250,282,265,264,308,259,303,323,326,330,344,321,262,261,267,258,252,221,194,190,152,141,111,116,108,86,51
"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,2,2,2,1,2,3,3,3,7,4,9,4,12,15,26,23,19,28,43,39,50,60,55,97,98,91,100,123,128,169,183,225,233,289,255,300,303,336,307,315,323,319,346,327,328,328,322,291,292,229,229,221,181,188,122,136,103,91,79,54
"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,1,1,8,4,6,5,7,6,13,12,13,18,29,49,28,35,39,50,55,50,65,86,92,96,121,151,180,248,225,246,238,281,281,285,306,330,327,347,308,313,287,337,311,303,292,244,230,217,226,172,168,134,135,118,103,67,59
"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,1,NA,NA,3,1,3,10,8,3,9,9,15,11,21,19,15,27,28,27,43,47,71,57,71,91,99,97,133,168,146,186,184,241,228,281,309,276,283,294,336,344,298,342,351,324,321,302,301,258,251,235,234,184,177,143,122,108,108,80,83
"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,2,3,1,6,5,7,12,8,16,16,23,24,19,39,45,44,45,59,65,57,90,98,116,127,143,149,185,186,225,253,273,280,275,293,301,358,344,348,341,365,327,330,285,338,270,313,237,234,199,216,158,155,116,123,96,65
