"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,NA,1,2,3,18,7,13,12,21,22,21,36,32,42,48,49,64,53,75,92,95,120,157,158,199,174,169,217,209,209,201,187,170,198,197,184,214,181,191,177,161,162,181,164,174,151,161,139,156,133,128,149,135,124,124,100,116,96,107,90,79,83,54,73
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,4,7,7,20,11,16,21,34,41,43,50,55,71,56,72,112,91,101,119,175,173,220,202,229,250,255,274,222,248,272,242,241,291,251,270,231,241,247,263,218,212,244,216,232,204,212,217,185,174,158,178,162,181,138,156,158,126,110,117,93,105,84
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,4,3,5,8,12,11,19,30,18,36,48,49,44,52,59,63,96,73,107,127,115,148,193,192,235,218,249,254,288,252,280,248,273,247,275,261,250,238,252,255,258,223,231,253,230,220,200,242,187,197,181,157,192,189,169,164,162,146,144,117,119,112,67,87
"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,3,5,4,13,12,29,30,23,35,41,33,46,58,65,68,90,78,80,112,125,139,151,201,212,227,251,243,258,257,268,233,255,257,245,248,261,232,236,239,249,244,223,241,237,218,199,232,208,221,187,186,185,134,156,155,155,133,139,126,97,114,86,78
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,2,8,6,16,23,23,43,38,37,51,68,68,72,71,78,103,98,107,124,136,142,168,176,223,212,233,201,242,240,253,263,248,233,271,247,251,256,249,243,230,224,222,212,203,222,224,195,202,173,180,171,173,159,167,145,128,158,138,116,110,88,103
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,6,7,5,11,15,23,29,38,44,41,39,50,75,82,73,93,92,115,104,146,136,150,169,171,184,228,196,212,236,211,255,282,242,241,257,255,232,271,255,253,244,253,213,243,224,240,215,216,201,204,181,191,180,165,165,158,159,139,115,112,86,105,106
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,3,8,6,9,17,15,29,35,47,60,45,51,68,85,80,76,77,118,119,132,128,142,155,180,217,202,221,245,212,222,237,231,230,259,257,246,259,271,246,273,276,289,266,255,237,244,248,214,240,232,190,213,189,175,166,167,166,118,140,113,108,114,100
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,3,2,6,4,6,15,15,16,36,32,36,56,65,60,69,78,108,93,118,116,130,118,153,142,159,179,160,195,188,194,220,203,234,234,252,274,247,266,270,281,266,277,247,269,274,272,257,266,243,216,238,274,217,223,211,197,195,155,163,133,124,125,124,114,80
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,NA,1,NA,4,7,3,13,24,22,33,32,61,47,59,74,87,79,97,112,137,127,120,133,147,133,163,179,188,207,172,202,229,219,223,237,280,284,263,264,302,291,290,267,292,285,307,282,275,260,245,249,259,227,238,207,215,220,194,165,171,167,128,139,143,114,123
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,5,5,11,15,13,21,37,34,45,62,81,82,100,92,98,112,127,137,133,157,124,138,177,223,194,197,191,196,230,231,216,214,255,268,281,258,269,294,315,303,277,302,325,262,261,285,275,276,266,256,228,231,215,237,184,167,166,150,157,124,127,128,110
"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,9,7,16,22,22,32,28,47,58,57,83,114,108,99,105,116,139,151,157,165,175,179,181,204,190,213,219,222,221,239,228,256,268,280,351,338,318,289,339,314,300,324,294,326,321,296,281,261,257,275,248,231,242,199,206,178,187,141,146,137,137,109
"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,5,7,16,16,31,28,40,52,45,58,70,113,128,142,119,148,154,176,209,176,192,194,215,214,227,226,241,234,217,272,230,250,259,302,346,312,334,332,323,360,322,367,320,322,334,319,322,284,277,294,306,277,235,269,226,205,203,144,133,135,129,108
"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,5,1,5,7,13,22,23,22,42,61,54,69,69,95,122,128,175,150,171,192,193,208,215,240,221,259,258,260,236,255,267,289,271,271,258,341,375,367,372,377,366,372,392,388,365,357,381,356,346,317,322,334,316,273,263,269,237,222,235,204,172,154,158,131
"1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,3,1,7,5,17,26,31,36,52,75,91,81,107,114,135,156,174,183,194,239,231,235,243,265,253,249,250,276,257,256,273,266,279,319,304,344,348,384,393,394,393,402,473,437,415,379,381,403,373,369,318,326,312,316,294,280,226,217,207,200,152,144,124
"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,11,18,18,21,26,33,46,64,70,86,112,105,134,162,178,241,168,217,277,309,264,284,264,294,320,293,283,301,278,277,287,331,358,341,377,445,426,435,438,436,478,487,478,426,423,420,439,411,351,362,355,347,344,330,288,256,232,180,181,187,146
"1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,11,7,12,21,28,34,46,68,74,85,95,109,147,164,180,228,276,244,242,273,300,284,280,293,295,328,312,279,271,261,300,308,322,368,317,396,398,413,430,441,462,453,499,424,440,425,411,410,372,352,337,388,342,338,277,277,235,240,184,173,141
"1989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,1,1,4,13,9,20,19,43,41,47,55,57,78,100,134,119,155,152,212,269,274,231,271,311,294,331,282,282,319,282,278,291,253,266,317,329,325,316,360,366,411,374,417,410,449,431,486,453,395,427,427,369,346,348,318,331,317,271,271,215,229,203,189,155
"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,3,5,10,7,16,21,24,43,52,56,64,101,101,161,145,163,180,214,279,306,368,264,283,340,350,334,332,323,316,309,301,270,294,321,349,318,331,404,373,390,427,468,452,425,478,456,480,416,429,409,385,370,390,364,371,318,295,277,272,228,205,199,168
"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,5,5,8,7,19,15,33,42,42,58,70,103,127,148,179,177,192,205,258,307,330,325,322,354,385,423,369,343,310,325,310,336,332,322,295,295,360,357,392,399,397,437,435,489,489,450,460,475,457,448,430,423,367,397,360,324,288,293,252,222,229,178,175
"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2,3,10,16,23,25,39,43,54,74,82,114,127,165,178,181,240,278,283,301,307,404,349,338,368,398,368,364,329,353,339,308,322,366,370,356,378,405,403,391,443,432,468,496,482,508,462,433,466,405,427,394,416,341,351,351,271,277,252,188,194,177
"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,5,9,5,14,21,33,43,38,49,69,95,127,139,137,166,192,241,239,286,287,342,378,439,351,374,343,405,349,375,337,338,339,332,341,348,368,367,380,411,402,375,470,420,452,470,466,432,470,486,459,386,400,382,393,319,331,278,284,240,222,217,157
"1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,5,7,9,10,15,22,18,35,58,52,75,63,109,104,116,159,213,255,267,280,324,348,365,401,478,392,362,446,429,394,397,388,401,392,327,339,388,374,386,400,435,384,482,473,446,472,463,477,459,446,465,476,397,382,396,356,315,302,287,232,217,216,198
"1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,10,6,18,16,20,32,39,50,58,87,82,117,141,145,147,208,251,291,259,310,364,402,391,458,500,442,492,460,440,380,404,418,370,418,330,425,419,383,387,394,418,506,445,487,438,451,537,493,453,486,450,429,392,418,330,354,342,293,247,255,233,174
"1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,3,8,18,11,24,21,33,50,63,57,76,133,125,158,183,198,263,270,311,345,358,426,417,397,498,611,439,487,489,462,467,437,424,406,421,436,385,374,464,382,405,444,461,447,463,465,459,474,511,441,436,466,480,399,398,345,316,300,269,253,209,185
"1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,2,3,2,8,4,10,21,22,26,40,46,72,74,93,135,135,145,174,209,272,292,329,332,370,387,491,435,526,566,605,505,435,488,520,499,472,431,467,446,418,421,438,441,442,493,470,493,453,498,488,480,532,551,498,489,493,422,397,376,338,331,290,282,234,207
"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,4,2,12,11,19,29,26,34,50,57,79,110,124,138,166,170,204,313,298,362,399,428,430,499,533,495,582,556,635,533,474,549,552,509,491,505,491,471,470,471,497,447,520,437,465,500,527,487,487,565,559,503,541,489,456,460,375,373,316,312,296,274,213
"1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,1,4,5,8,6,8,12,21,32,41,42,61,63,79,112,130,175,194,220,303,297,306,388,412,453,498,495,525,581,604,638,640,543,534,544,635,569,488,506,541,450,453,473,513,461,448,473,543,500,508,511,556,526,515,536,513,461,448,408,361,328,286,280,238,245
