"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,2,1,NA,1,2,1,2,NA,1,2,1,4,1,1,5,2,1,2,2,1,3,1,2,1,4,3,2,2,2,3,1,NA,1,1,1,NA
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,NA,1,NA,1,1,2,NA,NA,1,2,6,1,1,3,NA,2,4,NA,4,NA,4,2,4,3,1,4,6,NA,1,1,4,2,5,1,1,NA,1,1,1,NA,NA
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,2,1,2,NA,1,NA,NA,2,4,4,2,1,1,NA,3,4,1,2,NA,5,1,1,3,1,3,1,NA,1,3,NA,1,2,NA,4,NA,1,1
"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,1,2,1,2,1,1,NA,NA,NA,1,3,2,1,1,2,2,1,NA,2,3,1,NA,2,4,3,4,2,3,1,3,1,1,2,1,NA,NA,NA,5,2,NA,2,3
"1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,1,NA,1,4,1,1,4,NA,1,3,1,3,6,3,2,2,5,1,1,1,1,3,1,1,5,1,1,2,4,NA,NA,2,NA,NA
"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,1,1,NA,1,NA,1,1,2,1,1,7,2,1,2,2,5,4,NA,3,2,1,1,1,3,2,1,3,1,1,1,NA,NA
"1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,NA,2,1,1,NA,2,2,1,2,1,2,NA,4,NA,2,NA,3,3,1,3,4,2,2,1,2,4,1,6,2,3,4,1,2,NA,2,2,NA,1,NA,1,2,1,1
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,3,1,2,3,1,2,2,1,2,3,4,2,3,2,1,1,2,1,2,1,NA,2,4,NA,1,2,1,1,3,2,1,1,1,1,1,NA
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,1,1,1,NA,NA,1,NA,2,1,3,2,2,5,1,3,2,2,1,2,1,1,NA,3,3,2,3,4,1,NA,2,3,3,2,1,NA,3,2,1,1,3,2,1
"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,NA,4,1,5,1,4,1,4,2,1,1,1,6,1,5,3,2,NA,4,4,3,3,1,1,3,1,NA,1,1,NA
