"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,3,1,2,5,3,2,7,4,7,7,10,11,5,11,7,10,10,4,6,2,7,6,9,10,6,10,4,8,10,9,11,18,10,17,13,10,13,10,12,6,10,5,10,10,14,6,8,4,6,6,10,9,5,12,3,5,4,9,3,3,7,6,6,4,3,8,4,5,3,5,1
"1974",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,2,4,1,1,1,2,6,5,10,5,10,12,10,12,10,8,12,5,8,13,10,9,6,14,12,9,12,11,13,12,17,17,12,17,14,21,24,16,11,15,8,14,11,9,9,8,9,10,12,4,6,12,6,8,9,7,6,2,9,3,8,3,6,7,6,7,7,3,7,6,6
"1975",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,1,2,3,3,12,7,7,6,10,7,11,19,12,16,13,12,9,10,10,14,12,11,10,12,18,9,10,16,14,13,16,15,12,17,13,16,19,23,15,17,16,12,14,13,12,11,12,12,12,15,11,8,21,16,8,9,12,6,6,2,5,9,8,6,9,11,8,3,7,1
"1976",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,1,3,NA,5,12,6,8,6,7,12,7,12,16,10,19,11,12,13,17,6,15,10,14,19,8,12,9,14,14,15,12,20,13,15,13,15,15,21,18,25,16,20,11,15,15,19,13,15,11,15,9,6,10,13,17,13,7,10,5,7,7,13,6,5,11,13,4,6,5,4,8
"1977",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,1,3,4,7,7,9,9,13,14,12,9,18,14,22,11,16,18,14,20,19,9,11,22,10,10,16,13,12,13,9,17,15,20,18,13,14,24,24,11,16,18,18,18,17,14,20,18,16,13,15,13,16,12,17,11,19,13,10,9,9,10,13,8,9,8,5,5,11,8,9,4
"1978",NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,2,2,6,3,11,6,9,16,17,17,10,22,13,17,25,16,26,17,19,24,14,17,16,17,10,18,18,19,16,9,15,18,12,16,19,22,24,19,22,15,20,20,16,14,14,16,17,23,10,6,19,11,15,11,12,17,8,10,9,13,11,8,7,8,12,6,12,10,5,6
"1979",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,3,6,11,7,2,9,11,3,14,19,17,13,16,24,23,28,19,23,18,13,18,16,12,18,20,12,16,21,14,22,20,15,10,13,25,24,13,28,18,13,15,21,16,22,17,23,16,21,11,13,17,9,14,11,14,21,11,10,12,7,14,6,11,6,9,8,6,7,5,6
"1980",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,3,3,6,9,7,14,10,13,13,15,19,15,18,23,17,21,31,26,15,19,23,21,29,16,17,9,28,20,12,20,11,17,15,23,17,15,17,27,39,19,23,11,21,19,22,23,31,16,21,19,16,18,17,19,15,17,23,12,15,17,11,10,8,5,9,10,7,4,5,10
"1981",NA,NA,NA,1,1,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,7,3,4,9,9,14,11,22,18,20,15,20,16,20,18,33,28,22,17,25,25,26,21,21,21,15,21,27,20,18,23,21,26,21,26,23,25,18,29,23,20,25,38,21,24,23,13,18,20,20,23,16,17,14,13,13,14,19,14,18,12,8,12,6,16,12,8,8
"1982",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,2,NA,1,5,6,7,6,6,8,6,12,19,13,17,23,19,24,15,25,29,37,37,27,21,26,26,22,17,16,21,21,24,23,15,22,19,24,23,19,19,29,27,18,20,26,28,26,31,24,18,24,25,18,13,18,16,20,11,23,17,14,13,13,20,16,13,10,15,14,9,7,10
"1983",NA,NA,1,1,NA,NA,1,NA,NA,3,NA,2,NA,NA,NA,1,3,NA,3,4,8,4,10,11,9,15,15,22,13,24,22,31,22,36,27,34,24,34,16,25,27,21,27,17,11,17,19,18,22,14,18,29,27,26,28,21,27,23,28,24,22,21,24,28,23,17,23,19,26,18,20,14,25,16,19,10,11,13,15,17,14,15,18,11,6,5
"1984",NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,2,1,1,4,9,4,6,3,5,9,8,15,18,23,26,27,33,29,24,29,24,36,31,27,30,17,37,27,20,23,20,22,26,19,29,13,20,17,27,21,19,18,24,25,33,36,22,25,30,33,20,19,25,24,12,28,18,22,20,18,20,22,19,15,17,24,14,13,17,15,14,10
"1985",NA,NA,NA,NA,1,NA,NA,1,NA,2,1,NA,NA,NA,3,6,NA,3,3,3,8,13,13,15,21,20,19,24,24,23,27,30,20,30,28,32,43,25,39,28,22,32,33,36,22,25,23,29,25,17,16,21,29,24,28,36,32,30,34,20,23,31,24,34,26,30,23,25,17,23,14,37,29,18,29,16,17,25,15,19,13,13,13,13,9,7
"1986",2,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,1,4,5,5,6,14,12,5,21,15,21,21,21,36,30,30,30,21,31,39,34,35,37,32,42,33,26,37,31,29,33,21,24,32,30,31,26,20,21,25,37,30,31,24,25,26,33,23,35,34,33,31,24,32,28,33,19,13,29,20,28,22,16,19,14,15,16,15,15,14,17
"1987",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,3,5,1,4,3,12,7,12,12,30,23,20,27,36,34,41,28,20,43,37,33,26,40,45,40,42,33,37,31,38,22,27,27,26,25,19,27,17,26,36,23,28,24,37,22,30,30,34,35,26,32,25,26,23,31,26,29,26,25,29,32,30,19,21,23,21,23,12,14,10,13
