"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,2,2,2,7,4,7,2,3,7,6,5,16,4,6,6,8,7,8,4,6,7,8,10,10,8,8,11,9,8,18,21,16,11,10,13,13,10,14,12,6,3,10,11,7,11,6,9,9,8,9,8,8,7,10,3,5,6,8,9,8,5,4,4,1,4,4,4,3
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,2,5,3,2,2,2,8,6,10,10,7,4,4,12,3,9,12,4,5,11,9,9,5,11,15,9,15,10,11,15,10,23,10,18,10,17,16,15,17,13,9,11,7,12,14,13,13,16,11,8,10,9,6,9,3,8,4,10,10,3,7,5,8,3,4,NA,5
"1975",NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3,1,4,1,2,2,6,3,5,6,12,6,10,12,9,11,5,11,10,10,10,7,4,19,11,10,16,15,10,13,15,22,13,13,15,22,12,16,17,20,16,20,20,15,20,20,13,18,14,13,22,12,13,15,11,12,7,14,8,6,9,10,5,8,15,8,9,4,7,7,4,3
"1976",NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,3,2,3,6,8,8,6,6,5,7,9,21,10,13,9,14,12,6,10,11,14,11,11,12,17,9,12,11,21,15,10,19,27,16,16,23,22,19,13,19,18,25,15,23,12,22,14,14,17,13,13,12,15,14,9,12,10,10,12,5,9,6,7,2,4,2,7,3,1
"1977",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,1,4,3,5,4,6,11,9,6,8,10,19,20,8,7,13,18,15,16,15,14,11,14,15,12,15,18,15,13,28,13,27,22,32,15,14,20,22,17,31,23,27,18,22,20,19,16,17,24,10,11,14,16,23,15,9,10,8,12,14,12,10,6,9,7,3,4,6
"1978",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,1,1,4,1,6,1,2,6,4,6,5,12,9,12,13,12,16,16,10,13,12,7,19,11,7,19,11,14,19,17,13,13,14,12,13,21,15,23,26,22,15,28,24,25,24,21,22,22,24,16,21,11,22,16,18,18,10,11,17,21,14,12,19,11,7,5,8,8,10,5,2,5
"1979",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,3,NA,5,7,3,6,14,9,3,8,14,16,12,12,24,25,13,13,18,11,22,19,8,23,10,10,18,17,14,19,13,10,24,19,22,19,21,11,20,22,33,24,34,26,26,21,26,25,22,23,18,18,17,18,22,8,16,19,12,16,16,13,8,8,8,6,11,8,6
"1980",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,1,3,3,3,4,5,4,6,5,10,17,8,16,9,15,11,19,21,14,22,15,26,16,22,25,18,8,15,18,22,20,26,20,23,22,23,18,18,16,26,16,28,35,31,34,28,30,38,24,27,24,27,24,30,17,19,27,17,24,7,29,14,13,11,14,16,14,9,6,6,6,6
"1981",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,2,6,6,7,4,5,7,13,8,10,18,12,14,28,15,18,19,18,17,23,23,19,18,19,23,19,19,18,31,22,27,25,15,17,31,29,23,35,37,24,19,27,35,40,28,42,31,28,25,29,21,23,26,15,21,22,12,16,12,20,21,19,8,11,3,9,3,3
"1982",1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,2,1,NA,3,2,3,9,7,9,5,11,11,15,11,14,17,23,20,17,26,30,18,21,25,27,25,27,13,23,29,18,23,20,22,17,24,22,20,31,33,43,28,32,48,41,43,34,26,24,27,25,33,22,34,26,28,22,24,26,22,19,20,10,10,12,10,12,9,12,6,4
"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,4,4,8,7,8,8,12,12,12,22,13,21,23,32,27,28,27,28,30,36,33,31,22,21,26,34,22,21,27,28,26,18,29,29,30,29,42,23,35,29,43,32,33,31,27,45,28,27,42,30,36,29,32,24,16,22,20,30,17,11,13,12,15,17,7,9,18,8
"1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,2,2,1,3,1,4,9,10,12,18,14,16,22,26,25,32,39,35,35,37,28,44,27,28,31,32,34,38,25,29,27,23,27,21,22,20,31,31,33,35,35,49,40,39,34,33,38,32,47,39,35,37,33,32,23,24,28,27,25,26,15,29,19,15,17,19,17,13,7,5
"1985",NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,1,2,4,3,4,3,4,4,4,8,14,17,9,25,30,32,35,41,48,49,51,52,50,66,53,49,50,37,42,47,33,30,32,36,27,46,27,24,37,39,32,44,38,35,45,45,44,48,52,42,51,50,43,43,46,47,38,42,31,37,22,26,26,30,29,22,25,19,14,9,20,7,10
"1986",1,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,3,3,3,4,3,6,14,13,17,20,26,25,29,57,45,55,51,48,69,75,74,71,64,66,67,37,56,53,37,34,32,40,35,39,38,37,35,35,31,41,40,47,46,45,46,44,55,40,45,49,42,49,62,28,41,44,40,34,47,28,33,36,27,24,11,22,16,18,13,15
