"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",2,2,2,2,2,NA,2,NA,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,NA,1,2,1,NA,1,1,2,4,NA,1,4,1,2,2,3,1,4,5,5,3,8,5,5,6,3,6,7,9,10,9,13,6,3,12,11,15,10,10,8,10,8,13,14,8,3,5,4,4,6,4,9,6,4,3,1
"1974",3,5,2,1,3,3,NA,1,NA,2,1,NA,NA,1,1,NA,NA,NA,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,2,1,1,NA,NA,1,2,NA,1,4,1,4,1,6,5,5,2,7,3,5,1,9,2,5,8,7,9,11,12,10,7,5,15,16,8,13,10,9,12,9,8,10,9,5,10,2,5,4,3,5,6,8,4,1,2
"1975",7,NA,2,NA,2,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,4,1,NA,NA,NA,3,2,1,3,6,5,1,5,2,2,5,9,2,11,11,4,10,10,14,6,17,8,8,9,9,13,9,8,12,5,12,10,18,8,7,10,13,6,3,1,7,4,5,4,6,NA
"1976",5,7,3,3,5,3,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,1,1,1,1,4,2,1,4,1,2,1,4,3,5,3,2,4,5,6,7,7,7,11,8,5,10,7,5,7,10,13,9,15,11,11,16,9,15,15,12,20,5,10,10,8,17,12,6,6,5,5,6,9,6,3,2,4
"1977",5,2,3,6,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,2,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,3,3,4,4,2,2,5,2,4,8,4,2,2,2,8,9,6,14,12,7,12,5,13,6,9,16,8,9,16,9,16,12,14,11,17,12,14,10,10,13,4,9,16,6,6,8,7,11,4
"1978",4,2,NA,5,1,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,1,1,2,2,3,1,3,3,5,5,5,5,4,4,5,8,4,13,7,11,12,5,6,12,8,2,10,12,8,11,13,14,10,8,13,14,4,15,10,12,6,15,4,4,8,3,6,2,5,4
"1979",7,5,6,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,NA,1,5,1,NA,2,4,NA,1,2,7,3,4,4,9,4,3,6,10,5,10,9,12,11,12,12,8,13,10,12,10,17,10,9,14,13,12,8,10,11,8,14,10,9,7,9,4,3,10,10,4,4
"1980",2,2,9,3,2,3,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,NA,NA,NA,2,NA,4,NA,1,NA,1,4,4,3,1,3,4,2,2,8,1,5,6,6,2,3,10,5,5,6,3,10,3,11,11,12,12,11,18,8,13,11,9,18,15,15,6,18,19,10,12,9,10,10,12,6,4,9,9,3,6,3
"1981",5,5,1,1,2,5,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,2,1,2,1,1,1,4,NA,1,1,1,NA,4,7,3,5,6,4,5,7,8,5,11,6,6,10,6,18,12,13,11,13,9,14,17,11,14,15,13,15,8,12,11,11,12,9,16,8,9,10,6,7,9,6,10,3
"1982",2,4,3,NA,2,5,1,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,1,2,2,NA,NA,2,1,3,2,2,1,2,1,NA,3,7,2,4,4,3,7,6,6,5,8,7,10,5,12,12,7,13,13,13,7,21,14,12,16,24,11,12,12,11,15,15,14,14,10,16,17,13,15,12,9,12,6,8,2
