"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",2,3,2,3,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,1,1,2,2,1,NA,2,NA,5,2,2,2,5,4,2,3,4,9,5,6,15,8,7,7,14,11,14,12,13,26,20,14,25,10,20,22,18,13,13,24,18,11,5,12,13,7,12,15,15,12,10,16,7,6,14,4,6,3,1
"1974",1,3,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,NA,NA,3,3,3,3,1,2,3,6,5,7,8,7,8,13,9,13,13,12,16,21,15,20,18,17,20,24,17,18,16,20,21,22,19,21,15,15,19,16,21,17,8,10,10,7,5,10,9,6,4,3,2
"1975",3,2,2,5,2,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1,3,1,3,1,3,7,4,4,2,9,9,4,7,7,10,6,14,13,21,15,17,18,20,19,21,31,13,14,26,15,22,18,11,16,19,26,20,17,14,20,17,18,7,11,13,7,13,12,6,7,6,5,1
"1976",1,3,3,NA,2,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,2,1,1,NA,NA,2,4,1,2,1,2,NA,1,5,7,4,6,6,8,13,11,10,14,11,15,22,19,10,27,22,25,19,20,20,33,21,21,22,23,29,26,20,19,20,16,18,9,18,14,15,13,12,14,7,2,1,6,2,4
"1977",3,4,3,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,2,NA,NA,2,NA,NA,NA,2,NA,3,2,NA,2,1,1,1,2,1,3,4,3,4,4,5,2,7,9,10,9,10,11,12,14,13,14,19,25,22,19,19,15,23,22,19,24,18,17,20,24,17,31,14,19,19,17,20,15,12,11,11,15,9,13,13,7,11,10,6
"1978",5,1,4,4,NA,1,NA,1,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,NA,1,1,NA,2,3,4,3,1,2,2,2,6,6,NA,4,7,6,8,15,12,10,13,17,13,21,23,22,19,21,24,24,31,21,18,21,26,39,17,25,32,18,24,23,24,12,26,16,8,9,14,10,7,13,9,8,8,4
"1979",7,1,4,4,NA,NA,NA,3,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,1,1,NA,2,1,1,2,1,2,NA,1,NA,2,5,1,2,4,7,3,7,6,7,11,6,6,10,6,10,11,19,19,16,16,16,18,24,21,29,20,26,28,21,16,20,16,20,18,20,16,13,20,15,9,18,15,9,18,11,7,14,4,11,11,8
"1980",2,NA,3,4,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,1,2,NA,1,1,1,1,3,1,2,2,4,3,9,5,5,5,9,10,8,7,5,9,9,15,21,10,23,20,25,20,26,30,24,28,20,31,17,18,34,28,28,18,29,20,25,15,22,16,17,11,8,13,10,12,9,10,9,9
"1981",4,6,1,3,1,2,NA,NA,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,2,1,1,1,1,2,2,2,NA,1,4,5,2,6,6,3,9,10,12,15,11,17,12,15,11,15,26,18,26,40,33,27,26,26,35,26,21,22,27,26,34,28,25,18,19,22,14,23,18,15,14,16,17,9,5,10,8,9
"1982",1,4,6,2,2,2,2,NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,2,3,1,2,2,3,2,7,3,5,2,2,7,9,9,13,11,12,14,8,19,15,18,13,38,22,15,28,19,25,13,29,25,24,23,26,25,23,18,36,18,28,21,21,11,21,19,16,13,11,14,16,4,4,6
"1983",3,5,8,4,4,3,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,4,2,8,4,6,1,4,8,9,8,9,8,10,12,10,10,11,18,10,12,16,21,14,32,27,34,31,35,26,31,19,28,38,27,35,31,34,34,27,17,21,27,21,15,27,18,19,16,12,10,8,9,4
"1984",4,1,1,2,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,1,NA,NA,1,NA,2,1,2,7,2,2,5,6,7,13,4,8,6,12,11,9,13,9,17,15,13,26,15,15,18,22,31,17,30,31,33,34,37,42,27,33,18,43,27,32,27,32,28,26,31,24,20,11,14,20,18,10,6,9,6
"1985",2,6,3,2,1,2,2,NA,2,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,NA,2,2,1,2,5,4,NA,4,7,6,4,3,5,9,8,8,9,7,7,12,18,14,14,27,16,26,21,25,24,27,25,37,27,47,37,32,27,32,39,25,34,17,25,26,20,19,29,21,17,29,15,10,12,9,9,9,7
"1986",6,4,3,2,1,3,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,1,3,1,3,1,4,6,2,5,7,6,6,9,3,8,9,12,18,9,12,10,15,13,15,22,24,22,30,18,43,34,43,31,21,36,38,34,26,38,35,36,33,40,31,28,27,15,23,17,25,26,12,16,10,10,9
"1987",5,3,4,2,NA,2,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,1,4,NA,2,11,6,3,1,7,8,7,9,5,6,8,11,13,14,21,15,14,17,20,20,13,27,23,41,34,36,40,38,31,37,33,40,37,37,43,35,37,25,41,33,35,22,31,23,22,14,14,12,13,7,5
"1988",3,1,3,4,3,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,2,NA,2,1,3,2,6,1,2,4,5,3,5,5,8,9,4,12,7,10,16,10,15,19,18,20,13,22,13,28,33,23,30,25,30,21,29,31,34,42,40,37,37,31,36,39,41,30,25,22,33,21,27,23,22,14,18,9,9,7
"1989",9,8,NA,1,3,4,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,1,1,NA,1,1,1,5,1,2,1,3,6,8,2,11,6,9,5,8,18,15,18,17,22,25,16,18,20,27,22,22,27,24,36,30,33,42,34,38,26,46,38,29,34,38,31,42,41,32,29,32,22,24,22,17,22,10,13,8,5
"1990",4,2,6,3,2,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,4,1,1,2,3,6,7,7,11,9,5,9,14,8,10,18,22,14,12,21,18,16,16,18,17,27,28,34,41,35,32,31,45,35,32,42,46,41,60,37,52,36,36,23,22,28,34,21,22,21,21,23,9,14,9
"1991",2,8,5,5,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,1,NA,1,4,3,3,5,9,9,4,4,11,9,7,9,21,24,16,16,29,17,18,13,25,23,34,18,24,23,30,26,41,36,37,46,39,44,40,42,37,45,47,39,33,24,29,39,29,30,29,27,14,17,23,12,10,14
"1992",4,4,2,6,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,1,1,NA,2,NA,1,2,3,2,5,4,6,3,4,10,5,10,15,17,19,15,9,15,20,26,24,24,29,17,27,26,22,21,28,32,39,30,42,54,31,55,34,38,41,50,44,52,35,35,32,26,33,39,22,28,26,17,19,18,11
"1993",5,7,2,3,1,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,3,1,1,1,3,6,9,6,4,6,5,8,6,16,11,20,10,19,13,18,24,22,28,24,32,41,29,23,42,32,27,28,40,28,27,43,32,38,42,47,48,50,39,41,29,36,41,24,29,27,27,26,14,15,10,16,7
"1994",3,8,8,3,5,1,2,NA,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1,2,2,2,NA,NA,NA,1,7,3,9,4,8,11,8,10,12,13,13,20,32,18,18,35,29,21,31,35,27,33,36,31,26,31,31,34,43,34,47,46,53,46,60,42,38,54,47,29,28,36,40,43,22,18,16,17,7,15,10
"1995",5,5,2,3,3,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,3,1,2,3,3,4,5,4,7,6,9,13,10,11,11,17,18,20,19,35,22,25,27,24,33,26,37,24,38,29,28,51,36,34,29,44,38,35,41,51,48,33,50,40,47,53,25,36,33,25,29,19,25,23,15,14,9
"1996",3,4,3,4,5,1,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,4,3,2,3,6,NA,6,9,9,9,14,13,10,17,19,12,28,26,23,26,17,22,23,40,35,26,33,33,37,35,38,49,23,46,45,36,42,35,43,40,45,51,48,43,38,33,44,38,36,25,26,25,15,21,16,13
"1997",6,3,6,3,5,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,1,4,2,3,2,2,6,4,11,7,4,7,9,25,18,18,11,21,16,29,19,29,32,32,33,27,33,36,39,33,27,30,31,42,34,37,39,35,34,36,42,33,46,46,49,49,37,38,49,21,24,28,23,18,26,20,18,13
"1998",5,3,6,4,3,1,2,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,4,2,1,5,6,6,11,7,10,15,16,21,14,20,17,26,28,28,31,32,36,21,29,57,38,49,40,44,45,37,29,31,38,40,46,53,33,42,45,52,38,48,52,50,52,45,19,32,33,27,15,20,14,20
"1999",1,3,3,4,2,3,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,3,NA,1,3,3,5,7,4,4,5,8,5,6,11,20,14,16,21,27,29,22,29,30,39,40,35,36,32,46,32,37,42,34,45,38,41,41,43,42,50,42,47,49,37,40,43,45,42,40,39,33,28,28,29,30,25,25,12
"2000",1,6,4,4,3,1,1,3,NA,1,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,1,NA,NA,5,2,NA,1,1,1,2,NA,3,3,6,6,11,9,9,15,8,21,10,29,20,27,23,30,28,37,34,43,42,47,39,41,57,32,47,45,50,55,48,47,48,42,41,41,61,59,45,55,51,44,39,44,38,44,30,40,31,27,17,16,17
"2001",4,2,5,1,1,NA,2,2,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,2,1,1,NA,3,5,4,5,3,5,5,13,7,11,11,11,13,27,22,18,18,40,34,42,27,35,43,45,38,37,39,43,47,53,47,59,38,50,46,51,45,47,58,52,59,52,42,48,44,37,59,47,54,39,32,26,33,15,37,15
"2002",3,2,8,7,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,NA,2,NA,2,NA,2,1,1,5,7,2,9,3,9,12,8,15,19,23,27,15,29,37,25,26,35,41,40,29,37,33,51,48,44,48,73,65,54,59,59,56,49,36,49,43,37,52,44,54,51,49,38,56,48,43,38,39,30,14,23,25,13
"2003",1,4,7,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,NA,NA,3,5,NA,5,1,2,4,15,7,10,9,16,10,20,15,30,39,26,29,36,46,38,38,33,56,48,48,60,52,50,50,51,62,58,49,53,50,59,40,51,55,40,57,46,48,38,37,54,45,45,44,29,35,28,31,27,20,14
"2004",4,7,4,4,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,NA,1,NA,4,3,NA,NA,1,4,3,9,10,8,12,4,12,15,9,14,27,15,31,24,30,29,31,29,36,44,40,58,62,50,67,68,46,36,59,64,58,47,53,59,57,51,53,38,52,49,45,50,52,47,51,53,39,34,46,32,30,32,24,17
"2005",4,5,2,3,1,2,3,1,NA,1,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,4,1,2,7,6,8,3,8,4,8,5,8,16,18,16,20,17,20,19,36,27,32,36,50,46,56,41,49,52,58,82,71,58,53,61,64,70,68,56,58,62,77,59,71,35,56,51,55,45,48,43,45,49,41,35,32,22,21,23
"2006",1,3,2,4,6,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,NA,1,NA,1,3,2,1,5,8,4,4,2,5,15,3,8,14,15,14,21,16,26,38,32,37,50,36,44,51,62,59,69,58,59,64,100,77,54,65,79,59,79,56,55,55,65,55,61,45,43,57,39,52,54,46,51,41,30,31,28,22,20,24
"2007",3,4,4,NA,1,6,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,3,1,6,5,3,6,3,9,3,12,10,8,14,12,19,10,19,28,28,29,34,34,30,50,56,49,45,45,63,54,72,67,66,59,106,71,89,75,82,81,75,57,81,59,62,54,58,60,56,75,50,60,42,61,50,44,31,35,38,23
"2008",6,2,5,5,1,1,1,3,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,2,1,NA,1,3,1,1,4,2,1,7,11,1,1,12,16,13,17,14,19,17,29,27,31,34,31,26,45,49,47,38,55,57,65,73,84,70,65,91,73,102,82,85,84,94,79,77,62,69,56,59,66,55,53,60,56,35,54,46,50,38,42,39,36,29
"2009",3,4,2,4,6,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,2,2,1,5,2,2,4,3,8,6,2,5,13,10,13,9,18,19,23,23,32,30,36,42,44,45,58,57,62,64,59,73,75,71,72,65,79,95,83,72,80,65,79,101,73,68,65,52,68,69,58,50,50,46,64,44,45,30,35,40,25,33,34
"2010",4,6,4,5,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3,1,3,2,5,NA,2,6,5,6,4,10,12,22,23,22,14,13,21,26,38,35,44,33,55,42,38,60,57,69,71,68,59,72,82,94,96,80,88,65,76,97,93,79,71,72,72,63,69,63,52,52,54,49,49,47,37,33,29,29,22
"2011",4,6,6,1,1,1,NA,1,NA,NA,1,NA,NA,1,2,NA,NA,1,NA,1,NA,1,NA,NA,1,2,3,4,3,4,4,5,4,8,14,4,7,7,12,17,15,26,20,23,44,32,40,33,43,49,56,66,68,82,68,65,68,66,87,81,96,91,80,91,109,82,69,74,85,92,67,70,75,68,51,60,68,43,53,39,42,42,39,26,41,25
"2012",2,1,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,3,5,4,6,4,4,3,9,7,8,11,3,18,15,17,25,26,33,30,35,40,38,48,49,63,59,66,58,65,74,68,77,94,73,90,102,68,99,115,98,92,80,74,96,91,60,66,54,52,58,56,45,48,64,41,42,22,40,28,27
"2013",3,6,6,NA,2,2,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,1,1,NA,3,NA,NA,2,1,4,NA,3,5,5,2,5,12,9,8,16,13,11,14,23,30,19,32,32,39,47,42,54,58,56,59,48,89,66,78,76,86,101,87,93,80,92,113,113,110,84,99,99,96,82,73,61,59,82,59,48,53,47,41,50,32,35,26,22
"2014",4,7,5,3,3,2,NA,3,NA,3,NA,1,2,NA,1,NA,NA,NA,NA,1,2,1,1,2,1,3,1,6,2,1,9,5,4,9,9,4,9,17,18,21,24,12,24,17,29,25,30,37,35,47,51,74,52,72,68,78,89,91,73,94,99,94,84,91,93,100,99,88,93,93,80,80,86,60,73,68,76,62,38,54,31,36,33,32,27,20
