"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,3,7,5,4,10,17,21,24,20,41,47,51,59,59,81,75,87,116,137,121,140,141,145,147,160,163,155,161,166,170,183,164,159,173,147,138,126,117,109,88
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,3,5,8,12,15,8,14,24,27,46,39,67,64,69,106,104,105,121,144,160,171,151,173,178,177,200,205,202,206,165,202,210,195,169,175,192,179,136,119,103
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,3,6,8,7,7,19,12,30,31,41,44,62,65,90,88,112,120,115,157,174,198,162,229,206,213,230,237,229,229,221,247,205,207,205,177,195,198,160,152,133,112
"1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,1,6,7,5,3,9,21,25,24,37,42,62,57,77,72,96,113,138,159,158,172,205,208,202,223,236,234,221,241,257,219,247,218,212,208,215,194,201,176,161,152,133
"1977",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,2,7,8,8,13,22,32,31,44,55,65,69,92,107,127,149,154,160,201,207,225,225,230,269,277,245,253,283,272,241,256,234,226,189,227,195,157,147,181,136
"1978",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,2,4,5,5,3,10,8,12,13,28,35,38,38,59,83,119,129,118,124,162,179,203,201,228,219,242,283,240,259,278,251,249,261,242,254,239,200,201,206,180,173,143,124
"1979",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,1,4,2,3,6,7,8,10,17,21,24,24,43,72,69,79,83,105,136,141,156,165,198,212,221,218,255,279,274,297,299,307,273,307,264,249,284,245,213,192,191,171,141,144
"1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,3,2,3,6,4,11,6,16,20,28,33,41,44,53,85,98,127,122,168,171,185,218,245,263,246,274,291,299,292,305,298,283,276,278,294,262,242,217,207,208,166,178,147
"1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,6,4,8,10,9,17,28,28,35,50,62,79,78,103,123,161,161,166,216,221,245,241,247,268,299,317,313,316,330,310,297,264,275,271,277,229,214,205,175,182,135
"1982",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,2,2,NA,2,3,3,4,12,11,12,20,31,36,34,46,64,96,103,107,164,168,193,188,240,263,246,296,293,316,329,334,349,325,331,299,316,301,265,300,232,205,186,165,164,150
"1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,5,6,3,6,6,9,17,18,27,43,42,63,59,110,102,128,159,174,179,203,252,299,279,278,321,331,332,320,355,379,350,336,327,336,272,274,251,241,222,212,149,136
"1984",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,1,2,3,NA,2,3,6,6,7,9,20,22,33,28,41,61,77,92,111,108,145,158,212,226,252,257,288,308,303,312,395,354,343,366,348,326,336,330,312,294,257,260,196,207,167,150
"1985",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,7,5,1,1,4,8,9,8,16,24,24,32,39,51,65,91,127,136,152,188,189,240,281,308,337,322,366,365,379,380,405,386,346,353,342,354,317,324,265,267,235,217,148,169
"1986",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,NA,1,6,1,3,6,10,13,13,29,25,34,57,58,83,77,102,138,160,174,195,250,302,316,363,369,414,405,422,380,422,398,384,405,386,320,369,331,280,284,248,219,188,167
"1987",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,1,4,6,5,13,11,8,22,29,35,49,45,69,92,109,140,154,155,204,250,281,311,386,419,404,431,468,457,479,485,504,459,482,421,441,408,394,323,290,277,200,228,179
"1988",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,6,5,6,7,14,10,19,15,33,32,44,57,65,67,107,127,161,178,226,231,322,327,351,424,472,447,478,513,532,527,513,539,458,502,466,426,366,363,303,262,264,240,181
