"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"0-4",834124,826798,824180,832175,846358,860953,874198,883716,883743,871752,854308,836752,820438,804847,795352,790991,781392,764875,748387,733122,718124,705310,697047,691922,687091,684443,687012,693085,705085,723807,746790,771091,793256,809065,814754,811886,798763,780133,759085,741719,727519,718642,713398,714016,718018,722073,728839,741000,752780,763985,775048,781499,782828,782105,777852,772969
"5-9",851116,851865,850984,845403,840878,836224,831364,829111,831656,841354,857082,872814,885249,887969,876542,856970,837520,821648,808164,799329,794442,784254,767383,751102,736100,721522,709594,702954,699651,696236,695374,699616,706701,719171,739533,762840,786197,806785,820410,823981,820055,806993,789678,769932,752694,738051,729261,725295,727100,733724,740109,748165,760564,773952,786942,801024
"10-14",936990,926313,910282,888503,869923,858292,852070,849077,844282,840004,836311,831577,828066,831013,842537,857811,874305,887868,890463,879081,859854,840444,823537,809346,800642,796025,786443,770671,755730,742399,729417,718508,713380,710826,709561,709151,713206,719594,731082,749777,772087,795439,817444,831652,835101,830696,817845,801176,782862,767579,754538,746604,742311,745223,753160,762166
"15-19",825418,860269,890111,923406,945142,945932,932630,906132,883434,868338,858605,854064,851584,846544,842039,837448,831052,828565,833503,845238,860823,877370,890157,892209,880952,862188,843732,828078,814858,806675,803698,795483,779634,766077,753936,741336,730385,724635,721721,719487,718971,723862,731392,743915,763053,785174,808608,831621,847098,853361,852397,841937,826544,809487,796146,786853
"20-24",669912,680336,698970,739862,786586,824863,864421,905493,934354,944592,948155,933686,908008,888804,872687,860868,856887,854923,848924,844380,840407,834549,831537,836140,848257,865449,884431,899677,903752,893633,875492,857244,840924,827706,819934,816512,807866,791007,776381,763612,751380,741035,736628,735056,734166,735335,743962,757578,774420,796971,822028,847786,871118,888281,896594,902694
"25-29",613634,613964,619264,631418,647202,662455,678537,701343,731618,769543,816363,868241,915962,948304,962504,957727,936222,911153,891559,875373,864158,860572,858060,851855,847663,845405,842509,843322,852133,867661,886519,906315,921806,925166,914184,894417,874225,856391,841618,833152,830118,822715,808223,795444,783289,773137,768015,773226,782338,790560,798415,811124,824001,840394,864154,896041
"30-34",651697,648886,645194,631186,618285,615452,616561,620484,627571,640656,657012,674455,696173,724236,760245,808261,861354,909664,944167,958048,953631,933054,908267,889134,873504,863326,861490,861475,858263,856685,856667,855288,857128,865464,881553,899426,917632,931087,933065,921597,902592,883326,867285,853924,846230,843912,839815,832421,827390,823409,819225,818311,823642,832062,841734,853876
"35-39",705380,691620,682712,668648,654619,650198,645293,636854,626136,617869,613201,611916,614073,622656,639014,653223,670071,692121,718341,754134,801832,854677,902115,936419,950675,947314,927915,904412,886646,872558,863625,863340,864766,862088,861567,861730,859710,860151,867347,882745,900141,918346,933460,936571,925500,907267,890900,880012,872526,870141,871727,869784,861435,856515,854332,851729
"40-44",671649,681275,687553,692176,696396,693183,682375,671007,659871,650443,644171,637253,629861,621216,611742,605063,601708,604582,615090,631353,645533,662571,683726,709537,745160,792977,845970,893642,928081,943051,940214,920825,897958,881967,869032,860539,860262,861051,857915,856815,856744,855082,856759,865037,880527,898365,918606,936429,943735,936630,921399,907205,895604,887625,886649,891603
"45-49",669744,665528,660087,655189,651307,653992,665546,675373,682259,687913,683080,668626,657854,648993,639500,631244,624135,617545,608710,599529,593369,590850,592846,603229,619512,633904,650805,672437,698466,734097,781249,834925,882262,916120,930410,928458,909769,886933,870789,857809,849569,849356,851599,849367,848668,849104,849359,853711,864631,882501,902026,923488,940211,946472,940717,925494
"50-54",640280,648999,654685,659093,660025,654550,648015,641101,634680,628238,632557,646737,654940,659401,666295,661502,646494,636409,627897,618810,611159,605747,598268,589807,581396,575922,573403,576340,586831,603014,617676,634265,656268,682158,717716,764193,816819,862772,895823,910005,908276,890285,868759,853621,841391,833832,834955,838699,838229,839510,841726,843973,846714,857464,875771,899530
"55-59",550349,558670,568266,581563,596965,607872,614581,620707,625793,625138,621759,616201,608384,600988,593569,598351,613750,621631,626464,632907,628186,616537,604928,597114,588899,581769,575881,570365,562882,555324,551035,549314,553299,565079,580898,596381,612893,634087,659216,693771,738811,790110,835577,868156,882292,880734,863915,844957,830071,819363,813302,817177,818951,819322,821564,826467
