"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"1973",333,333,331,350,346,337,340,342,349,349,341,342,347,345,337,340,343,350,349,350,347,347,348,353,336,319,329,330,324,323,324,320,315,318,310,310,314,317,308,308,304,307,302,304,306,295,300,303,295,295,293,282,299,295,279,286,291,285,294,282,273,277,287,281,276,271,277,278,273,276,269,271,270,269,255,267,261,261,271,254,252,245,244,243,240,301
"1974",366,372,366,383,386,375,372,380,383,377,376,380,379,377,368,379,382,380,383,385,385,379,378,386,366,363,363,365,357,353,356,355,350,355,343,342,349,341,340,338,340,335,332,330,337,326,337,327,336,324,329,309,318,325,310,318,323,314,325,311,306,316,323,309,306,310,308,308,304,305,306,304,298,298,282,297,298,292,297,285,281,275,272,272,263,339
"1975",393,389,388,399,405,399,394,403,406,395,404,400,399,401,393,398,400,399,409,402,400,398,406,396,376,372,381,378,385,375,376,362,380,370,371,365,365,357,365,357,341,357,360,356,356,343,349,348,345,341,345,322,340,337,342,338,334,331,342,328,326,331,336,325,330,322,330,320,334,315,315,319,313,318,319,301,300,311,310,303,304,293,278,284,286,363
"1976",399,389,396,408,408,401,405,406,411,401,401,409,401,402,396,397,402,407,416,405,402,405,405,396,380,375,388,383,382,387,379,373,380,376,373,371,373,362,362,355,352,362,357,353,355,348,345,345,346,346,342,334,350,339,342,340,336,333,343,329,322,329,342,333,333,321,337,324,333,317,316,318,309,319,324,303,299,317,312,304,311,289,278,285,288,369
"1977",408,397,397,412,413,404,413,408,417,410,401,414,404,407,401,402,404,405,417,410,404,404,411,396,380,380,389,388,390,391,382,378,388,382,381,361,382,371,368,363,340,365,361,363,358,342,351,348,352,352,348,335,347,344,345,341,338,329,344,332,329,325,338,332,335,322,335,328,333,316,310,325,313,323,324,308,301,313,314,307,309,290,276,285,285,367
"1978",417,395,402,414,410,410,410,414,420,408,410,418,401,405,398,403,407,406,419,410,411,411,412,395,381,385,390,393,395,400,391,389,393,390,381,374,377,376,364,370,352,358,367,358,358,353,357,348,352,355,347,354,351,349,348,352,335,334,352,334,332,328,339,334,337,325,340,334,332,316,313,315,311,326,328,311,303,315,312,305,309,294,279,278,284,363
"1979",414,403,403,413,407,417,412,418,417,408,415,422,402,401,395,407,406,401,415,409,408,410,409,393,381,386,396,392,394,399,396,388,400,387,379,377,380,378,360,374,351,357,366,358,358,349,357,349,354,357,350,353,350,349,353,351,333,336,351,334,334,325,340,333,336,322,347,333,335,317,315,315,307,314,326,308,301,314,311,305,309,293,275,278,283,362
"1980",417,403,402,414,409,417,410,415,417,409,417,421,402,402,396,406,406,401,415,409,409,409,409,393,381,386,397,393,395,400,400,393,401,391,382,381,381,376,366,375,356,360,364,358,360,353,359,351,353,356,354,352,352,348,353,349,334,337,350,334,341,324,340,332,335,325,341,336,334,317,318,318,307,318,327,309,300,317,308,299,309,291,276,279,283,360
"1981",419,410,406,419,412,422,421,422,420,409,421,424,404,407,397,408,408,403,424,410,413,411,413,396,383,389,400,396,394,404,403,397,401,393,386,385,384,384,369,376,362,365,372,359,359,356,362,354,351,357,356,359,353,348,353,348,339,340,352,338,344,330,340,335,335,328,343,338,334,323,321,320,314,320,328,310,301,321,311,303,308,295,281,281,289,362
"1982",424,412,413,426,418,428,425,430,424,414,426,426,412,415,406,414,414,411,429,416,414,417,418,398,388,394,404,401,400,408,405,399,410,402,389,393,391,388,377,382,369,371,374,367,365,357,366,363,359,363,359,364,360,357,357,352,343,342,358,343,348,336,345,337,344,332,345,345,340,332,327,323,317,328,332,317,307,323,315,308,312,301,292,287,292,366
