,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    Unter 5 Jahre,23594,24129,24466,24569,24515,24254,24184,23999,24386,25208,26328,26933,27228,27296,26901,26232,25559,25029,24292,23637,23125,22417,21538,20750,20042,19346,18713,18218,17891,17589,17415,17395,17334,17082,17373
    5 bis unter 10 Jahre,26192,24567,23415,23020,23123,23520,24028,24382,24488,24797,25144,25337,25834,26529,27186,27884,28287,28247,27900,27339,26508,25709,25194,24613,23997,23474,22768,21801,20898,20092,19371,18719,18210,17795,17762
    10 bis unter 15 Jahre,40252,37378,34532,31329,28330,26141,24473,23041,22933,23310,24225,25026,25707,26280,26492,26489,26651,26919,27228,27689,28215,28509,28479,28211,27662,26840,26028,25375,24636,23953,23438,22788,21928,20403,19722
    15 bis unter 20 Jahre,47470,46958,45988,44570,42728,40041,37130,34776,31386,28626,26858,25420,24550,24550,24906,25563,26322,26916,27168,27211,27116,27156,27409,27793,28276,28793,28995,28822,28456,27744,26830,26012,25468,24147,23698
    20 bis unter 25 Jahre,42478,43562,44360,44983,45866,46152,45576,44477,43069,41914,40657,38864,36879,34230,31427,29312,27729,26748,26422,26627,27213,27864,28501,28959,28971,28681,28485,28338,28498,28709,28929,29030,28890,27427,27006
    25 bis unter 30 Jahre,37475,37863,38551,39159,40015,41135,42216,43085,43696,44412,45333,45532,45269,44578,43307,41506,39442,37119,34205,31488,29409,27783,26876,26788,27074,27506,27940,28268,28439,28305,28074,28030,28142,27694,27954
    30 bis unter 35 Jahre,30684,33289,35307,36449,36917,37036,37323,38750,39395,40385,41913,43041,44039,44932,45470,45752,45655,45069,43875,42400,40545,38440,36218,33706,31146,28987,27360,26259,25981,26138,26606,27114,27548,27072,27065
    35 bis unter 40 Jahre,33079,29427,27508,27375,28279,30276,32822,36429,37705,38203,38654,39111,39843,40675,41549,42593,43612,44419,44907,45252,45334,45073,44546,43651,42232,40207,38016,35701,33016,30347,28313,26854,25971,25385,25800
    40 bis unter 45 Jahre,42753,42561,40881,38577,36107,32645,29035,27566,27845,29040,31576,34532,36933,38415,38912,39135,39565,40161,40717,41466,42427,43431,44216,44828,45223,45242,44901,44200,43112,41610,39645,37525,35411,30964,28716
    45 bis unter 50 Jahre,34632,35829,37604,39373,41113,42186,41927,40925,38596,36229,33100,29598,27827,28034,29244,31627,34564,36916,38259,38724,38866,39234,39845,40579,41355,42241,43142,43850,44426,44781,44891,44573,43904,42256,40511
    50 bis unter 55 Jahre,36400,35839,35291,34312,33744,34076,35261,37049,39061,40835,42180,42113,40613,38478,36111,32827,29302,27549,27724,28917,31269,34227,36549,37929,38387,38467,38807,39393,40034,40739,41675,42601,43354,44404,44705
    55 bis unter 60 Jahre,40390,39707,38543,37332,36250,35408,34871,34770,33735,33185,33705,34967,36773,38689,40500,41677,41594,40047,37777,35438,32172,28720,27030,27260,28442,30795,33710,35937,37237,37628,37701,38019,38637,39776,40605
    60 bis unter 65 Jahre,25024,27741,31284,34842,37620,38549,37974,37408,36102,35011,34411,33992,33590,32880,32402,32805,34072,35854,37698,39509,40597,40506,38987,36843,34509,31280,27859,26158,26371,27531,29802,32619,34816,36527,36680
    65 bis unter 70 Jahre,33367,31140,28275,25211,23118,23320,25854,28951,32835,35571,36685,36210,35316,34347,33386,32725,32331,31940,31164,30687,31107,32446,34226,36093,37878,38971,38857,37374,35252,32957,29861,26573,24915,25220,26862
    70 bis unter 75 Jahre,30608,30691,30731,30743,30512,29486,27487,25460,22473,20664,21017,23450,26607,29861,32410,33374,33019,32260,31402,30589,29959,29649,29289,28614,28251,28731,30038,31762,33548,35236,36290,36246,34844,31615,29322
    75 bis unter 80 Jahre,21294,21925,22570,23214,23912,24498,24691,24943,25214,25152,24542,22977,20927,18754,17315,17729,19902,22619,25347,27505,28363,28190,27607,26965,26334,25946,25756,25551,25065,24825,25400,26668,28302,30612,32047
    80 bis unter 85 Jahre,11040,11722,12370,12936,13640,14309,14836,15488,16238,16875,17411,17668,17974,18251,18352,17937,16769,15279,13733,12809,13298,15104,17245,19382,21038,21727,21666,21350,21053,20722,20533,20522,20441,19719,20010
    85 bis unter 90 Jahre,3978,4246,4493,4800,5179,5578,5955,6330,6837,7332,7811,8213,8631,9036,9410,9781,10094,10442,10740,10834,10607,10018,9169,8219,7724,8184,9365,10761,12131,13201,13771,13893,13821,13425,13435
    90 Jahre und aelter,1115,1195,1314,1389,1478,1631,1759,1852,1981,2127,2307,2527,2759,2983,3239,3530,3803,4092,4405,4719,4939,5102,5330,5554,5748,5758,5499,5163,4835,4727,5018,5611,6243,6761,7163
