,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
    Unter 5 Jahre,24416,25025,25449,25630,25783,25717,25641,25802,26102,26814,27971,28638,28958,29039,28542,27689,26760,26058,25243,24476,23946,23280,22394,21557,20890,20319,19847,19457,19146,18763,18407,18256,18146,17909,18295
    5 bis unter 10 Jahre,27208,25605,24599,24165,23989,24209,24793,25111,25644,26245,26906,27153,27613,28305,28894,29595,30115,30145,29718,29027,27996,26945,26253,25543,24830,24257,23482,22494,21597,20900,20357,19893,19501,19141,18902
    10 bis unter 15 Jahre,41918,39007,35872,32423,29393,27158,25526,24401,24241,24448,25265,26081,26860,27597,28086,28351,28508,28749,28989,29413,29968,30326,30259,29913,29282,28249,27182,26408,25619,24796,24200,23477,22572,21362,21003
    15 bis unter 20 Jahre,50123,49299,47993,46431,44527,41980,39023,36276,32679,29905,28241,26780,25976,25972,26094,26560,27335,28020,28438,28821,28906,28875,29108,29507,29892,30320,30609,30411,29966,29207,28144,27200,26641,25463,25107
    20 bis unter 25 Jahre,44965,46473,47453,48225,48991,49006,48302,46297,45003,43999,43303,41527,39196,36241,32975,30565,28850,27773,27301,27241,27655,28452,29270,29889,30291,30200,29857,29739,29915,30082,30423,30705,30664,29497,29277
    25 bis unter 30 Jahre,38714,39450,40286,41122,42694,44270,45579,46022,46497,47199,48298,48367,48273,47906,46450,44583,42213,39353,35788,32536,30290,28670,27883,27808,27932,28244,28849,29352,29736,29947,29869,29774,30053,29651,30429
    30 bis unter 35 Jahre,32298,35059,37080,37925,38073,38082,38564,40933,41793,43155,45088,46337,47460,48310,48306,48128,47842,47231,45876,44187,42310,40004,37487,34656,31890,29705,28148,27145,26865,26865,27247,27923,28668,28351,28897
    35 bis unter 40 Jahre,32878,29449,27824,28040,29335,31712,34361,39330,40370,40583,41061,41546,42471,43522,44435,45370,46242,46920,46978,46765,46560,46233,45643,44723,43374,41489,39117,36398,33445,30697,28710,27303,26591,25170,25571
    40 bis unter 45 Jahre,42268,41932,40199,37801,35457,32237,28760,28452,29298,30981,34075,37204,39660,41024,41114,41085,41482,42173,42753,43617,44517,45282,45929,46374,46319,45883,45329,44522,43520,42104,40321,38174,35828,30305,28177
    45 bis unter 50 Jahre,35165,36200,37732,39087,40399,41146,40779,41693,39123,36786,33883,30331,28703,29269,30802,33484,36526,38928,40127,40311,40221,40600,41307,42109,43045,43821,44490,44960,45162,45027,44789,44427,43892,41628,39988
    50 bis unter 55 Jahre,33996,34801,34905,34257,33766,33916,34851,37348,39197,40743,41947,41834,40465,38378,36027,32942,29487,27859,28294,29853,32517,35560,37920,39226,39395,39183,39453,40054,40755,41641,42480,43235,43913,44743,44314
    55 bis unter 60 Jahre,28672,28778,29106,29802,30878,32077,32858,33926,33293,32879,33382,34470,36109,37844,39351,40196,40119,38858,36703,34482,31476,28170,26637,27151,28693,31254,34146,36374,37592,37696,37559,37874,38526,39625,40869
    60 bis unter 65 Jahre,17095,18950,21297,23629,25313,25905,26049,27146,27930,28970,30377,31154,31305,30987,30712,31158,32283,33815,35295,36761,37624,37638,36430,34444,32331,29479,26354,24906,25357,26829,29376,32208,34408,35832,35632
    65 bis unter 70 Jahre,20588,19054,17248,15457,14330,14684,16367,18551,20914,22458,23217,23484,23982,24817,25778,26860,27599,27802,27485,27348,27841,29004,30473,31952,33332,34183,34204,33091,31304,29380,26812,23968,22707,23547,25489
    70 bis unter 75 Jahre,17283,16908,16697,16598,16551,16023,14882,14045,12517,11664,12078,13529,15356,17188,18484,19083,19423,19903,20570,21450,22381,23082,23365,23289,23297,23865,24971,26281,27638,28956,29761,29842,28917,26472,24810
    75 bis unter 80 Jahre,11539,11732,11764,11678,11523,11417,11338,11622,11670,11713,11510,10732,9820,8938,8448,8876,9995,11381,12779,13796,14335,14752,15173,15779,16575,17437,18042,18346,18374,18479,19093,20095,21325,23024,24183
    80 bis unter 85 Jahre,4775,5088,5374,5597,5842,6084,6187,6339,6480,6518,6646,6734,6787,6891,7003,6903,6504,5983,5452,5231,5579,6402,7356,8288,9015,9473,9865,10325,10895,11453,12087,12639,12924,12888,13269
    85 bis unter 90 Jahre,1546,1527,1561,1621,1728,1884,2014,2127,2314,2441,2562,2614,2686,2789,2837,2911,3011,3099,3212,3310,3289,3128,2898,2692,2650,2878,3369,3905,4378,4767,5054,5342,5686,6011,6375
    90 Jahre und aelter,537,555,561,580,576,564,575,558,555,584,609,643,707,770,812,868,907,959,1047,1133,1204,1273,1351,1434,1531,1585,1556,1516,1495,1571,1716,1905,2133,1814,2012
